bench,mode,status,reductions,cata,ana,para,hylo,lines,result
BTreeMorph,plain,RAN,20153,0,0,0,0,737,1086800167
BTreeMorph,morph,RAN,20741,2,0,0,0,738,1086800167
BTreeMorph,mmorph,RAN,20153,0,0,0,0,736,1086800167
BTreeMorphM,plain,RAN,17153,0,0,0,0,692,1086800167
BTreeMorphM,morph,RAN,17153,1,0,0,0,693,1086800167
BTreeMorphM,mmorph,RAN,17153,0,0,0,0,691,1086800167
BTreeMorphX,plain,RAN,20235,0,0,0,0,787,1086800167
BTreeMorphX,morph,RAN,20235,1,0,0,0,788,1086800167
BTreeMorphX,mmorph,RAN,20235,0,0,0,0,786,1086800167
BTreeMorphXFix,plain,RAN,24216,0,0,0,0,870,1086800167
BTreeMorphXFix,morph,RAN,24561,1,0,2,0,881,1086800167
BTreeMorphXFix,mmorph,RAN,24216,0,0,0,0,869,1086800167
BTreePure,plain,RAN,17353,0,0,0,0,691,1086800167
BTreePure,morph,RAN,17353,1,0,0,0,692,1086800167
BTreePure,mmorph,RAN,17353,0,0,0,0,690,1086800167
ChurchMorph,plain,RAN,107423,0,0,0,0,406,-649613890
ChurchMorph,morph,RAN,124134,2,0,0,0,406,-649613890
ChurchMorph,mmorph,RAN,107423,0,0,0,0,406,-649613890
ChurchMorphM,plain,RAN,50550,0,0,0,0,366,-649613890
ChurchMorphM,morph,RAN,50550,0,0,0,0,366,-649613890
ChurchMorphM,mmorph,RAN,50550,0,0,0,0,366,-649613890
ChurchMorphX,plain,RAN,107700,0,0,0,0,440,-649613890
ChurchMorphX,morph,RAN,107700,0,0,0,0,440,-649613890
ChurchMorphX,mmorph,RAN,107700,0,0,0,0,440,-649613890
ChurchMorphXBB,plain,RAN,76475,0,0,0,0,379,-649613890
ChurchMorphXBB,morph,RAN,76475,0,0,0,0,379,-649613890
ChurchMorphXBB,mmorph,RAN,76475,0,0,0,0,379,-649613890
ChurchMorphXFix,plain,RAN,161022,0,0,0,0,454,-649613890
ChurchMorphXFix,morph,RAN,210722,0,0,2,0,459,-649613890
ChurchMorphXFix,mmorph,RAN,161022,0,0,0,0,454,-649613890
ChurchPure,plain,RAN,50534,0,0,0,0,358,-649613890
ChurchPure,morph,RAN,67224,2,0,0,0,364,-649613890
ChurchPure,mmorph,RAN,50534,0,0,0,0,358,-649613890
HeapSortMorph,plain,RAN,36293,0,0,0,0,496,-26356897
HeapSortMorph,morph,RAN,37069,2,1,0,0,497,-26356897
HeapSortMorph,mmorph,RAN,36293,0,0,0,0,495,-26356897
HeapSortMorphM,plain,RAN,33952,0,0,0,0,455,-26356897
