suite,bench,opt,status,reductions,lines,result
flite,Adjoxo,-O0,RAN,18886,688,88
flite,Adjoxo,-O1,RAN,18901,684,88
flite,Adjoxo,-O2,RAN,18896,672,88
flite,Adjoxo,-O3,RAN,18896,672,88
flite,Braun,-O0,RAN,54574,275,1
flite,Braun,-O1,RAN,54570,263,1
flite,Braun,-O2,RAN,54569,258,1
flite,Braun,-O3,RAN,54569,258,1
flite,Clausify,-O0,RAN,92059,741,0
flite,Clausify,-O1,RAN,92060,738,0
flite,Clausify,-O2,RAN,91687,700,0
flite,Clausify,-O3,RAN,91687,700,0
flite,Countdown,-O0,RAN,14870,769,4
flite,Countdown,-O1,RAN,14759,781,4
flite,Countdown,-O2,RAN,13682,760,4
flite,Countdown,-O3,RAN,13682,760,4
flite,Factorial,-O0,RAN,326,61,3240
flite,Factorial,-O1,RAN,325,59,3240
flite,Factorial,-O2,RAN,325,59,3240
flite,Factorial,-O3,RAN,325,59,3240
flite,Fib5,-O0,RAN,62,74,8
flite,Fib5,-O1,RAN,61,72,8
flite,Fib5,-O2,RAN,61,72,8
flite,Fib5,-O3,RAN,61,72,8
flite,Fib,-O0,RAN,38,74,5
flite,Fib,-O1,RAN,37,72,5
flite,Fib,-O2,RAN,37,72,5
flite,Fib,-O3,RAN,37,72,5
flite,Fibonacci,-O0,RAN,1150,74,144
flite,Fibonacci,-O1,RAN,1149,72,144
flite,Fibonacci,-O2,RAN,1149,72,144
flite,Fibonacci,-O3,RAN,1149,72,144
flite,Knuthbendix,-O0,RAN,21040,9051,4792
flite,Knuthbendix,-O1,RAN,20617,8985,4792
flite,Knuthbendix,-O2,RAN,20326,9085,4792
flite,Knuthbendix,-O3,RAN,20326,9096,4792
flite,KnuthbendixN,-O0,RAN,10558,3798,4792
flite,KnuthbendixN,-O1,RAN,10546,3793,4792
flite,KnuthbendixN,-O2,RAN,10207,3727,4792
flite,KnuthbendixN,-O3,RAN,10207,3727,4792
flite,List,-O0,RAN,6,51,1
flite,List,-O1,RAN,2,17,1
flite,List,-O2,RAN,2,17,1
flite,List,-O3,RAN,2,17,1
flite,Map,-O0,RAN,818,135,1275
flite,Map,-O1,RAN,817,133,1275
flite,Map,-O2,RAN,816,129,1275
flite,Map,-O3,RAN,816,129,1275
flite,Mss,-O0,RAN,69975,238,210
flite,Mss,-O1,RAN,69974,235,210
flite,Mss,-O2,RAN,69068,223,210
flite,Mss,-O3,RAN,69068,223,210
flite,Ordlist,-O0,RAN,13489,218,1
flite,Ordlist,-O1,RAN,13488,216,1
flite,Ordlist,-O2,RAN,12697,213,1
flite,Ordlist,-O3,RAN,12459,216,1
flite,PerfDemo,-O0,RAN,7894,74,987
flite,PerfDemo,-O1,RAN,7893,72,987
flite,PerfDemo,-O2,RAN,7893,72,987
flite,PerfDemo,-O3,RAN,7893,72,987
flite,Permsort,-O0,RAN,11759,239,6
flite,Permsort,-O1,RAN,11758,237,6
flite,Permsort,-O2,RAN,11408,231,6
flite,Permsort,-O3,RAN,11408,231,6
flite,Queens2,-O0,RAN,15163,352,10
flite,Queens2,-O1,RAN,15162,350,10
flite,Queens2,-O2,RAN,14756,337,10
flite,Queens2,-O3,RAN,14339,346,10
flite,Queens,-O0,RAN,48191,289,4
flite,Queens,-O1,RAN,48190,284,4
flite,Queens,-O2,RAN,48517,266,4
flite,Queens,-O3,RAN,48517,266,4
flite,SumEuler,-O0,RAN,16722,264,277
flite,SumEuler,-O1,RAN,16721,262,277
flite,SumEuler,-O2,RAN,16690,256,277
flite,SumEuler,-O3,RAN,16690,256,277
flite,Sumpuz,-O0,RAN,6617,802,0
flite,Sumpuz,-O1,RAN,6619,795,0
flite,Sumpuz,-O2,RAN,6585,783,0
flite,Sumpuz,-O3,RAN,6585,783,0
flite,Taut,-O0,RAN,29936,456,1
flite,Taut,-O1,RAN,29935,454,1
flite,Taut,-O2,RAN,28745,438,1
flite,Taut,-O3,RAN,28111,438,1
flite,TreePari,-O0,RAN,30451,137,42
flite,TreePari,-O1,RAN,30449,129,42
flite,TreePari,-O2,RAN,42213,129,42
flite,TreePari,-O3,RAN,42213,129,42
flite,TreeSum,-O0,RAN,114682,90,16383
flite,TreeSum,-O1,RAN,114681,88,16383
flite,TreeSum,-O2,RAN,106490,86,16383
flite,TreeSum,-O3,RAN,106490,86,16383
flite,TribeLie,-O0,RAN,11483,370,48
flite,TribeLie,-O1,RAN,11482,368,48
flite,TribeLie,-O2,RAN,10424,348,48
flite,TribeLie,-O3,RAN,10424,348,48
flite,Whilex,-O0,RAN,47614,834,2
flite,Whilex,-O1,RAN,47613,832,2
flite,Whilex,-O2,RAN,47820,821,2
flite,Whilex,-O3,RAN,49084,815,2
nofib,Ansi,-O0,RAN,36516,2635,1359627558
nofib,Ansi,-O1,RAN,36514,2629,1359627558
nofib,Ansi,-O2,RAN,37242,2603,1359627558
nofib,Ansi,-O3,RAN,37242,2603,1359627558
nofib,Atom,-O0,RAN,1730,368,-1338171588
nofib,Atom,-O1,RAN,1729,366,-1338171588
nofib,Atom,-O2,RAN,1727,355,-1338171588
nofib,Atom,-O3,RAN,1727,355,-1338171588
nofib,Awards,-O0,RAN,251074,1234,-283987732
nofib,Awards,-O1,RAN,251073,1231,-283987732
nofib,Awards,-O2,RAN,251150,1215,-283987732
nofib,Awards,-O3,RAN,251150,1215,-283987732
nofib,Calendar,-O0,RAN,177304,1828,92416
nofib,Calendar,-O1,RAN,177307,1828,92416
nofib,Calendar,-O2,RAN,171628,1825,92416
nofib,Calendar,-O3,RAN,171626,1821,92416
nofib,Cichelli,-O0,RAN,117914,2257,-1928824954
nofib,Cichelli,-O1,RAN,161246,2246,-1928824954
nofib,Cichelli,-O2,RAN,165292,2204,-1928824954
nofib,Cichelli,-O3,RAN,165292,2204,-1928824954
nofib,Constraints,-O0,RAN,59071,1316,536838146
nofib,Constraints,-O1,RAN,58492,1300,536838146
nofib,Constraints,-O2,RAN,58339,1267,536838146
nofib,Constraints,-O3,RAN,58339,1267,536838146
nofib,Cryptarithm1,-O0,RAN,304109,830,90344
nofib,Cryptarithm1,-O1,RAN,304108,828,90344
nofib,Cryptarithm1,-O2,RAN,304106,820,90344
nofib,Cryptarithm1,-O3,RAN,304106,820,90344
nofib,Cryptarithm2,-O0,RAN,5187823,1185,1600636935
nofib,Cryptarithm2,-O1,RAN,5190459,1178,1600636935
nofib,Cryptarithm2,-O2,RAN,5021593,1152,1600636935
nofib,Cryptarithm2,-O3,RAN,5021593,1152,1600636935
nofib,Cse,-O0,RAN,15748,869,1874194485
nofib,Cse,-O1,RAN,15798,863,1874194485
nofib,Cse,-O2,RAN,15595,834,1874194485
nofib,Cse,-O3,RAN,15595,834,1874194485
nofib,Exp3_8,-O0,RAN,3986,114,81
nofib,Exp3_8,-O1,RAN,3985,112,81
nofib,Exp3_8,-O2,RAN,3984,106,81
nofib,Exp3_8,-O3,RAN,3984,106,81
nofib,Fish,-O0,RAN,3728499,3537,169363
nofib,Fish,-O1,RAN,3728498,3529,169363
nofib,Fish,-O2,RAN,3719004,3505,169363
nofib,Fish,-O3,RAN,3719004,3505,169363
nofib,GenRegexps,-O0,RAN,706655,886,-284189200
nofib,GenRegexps,-O1,RAN,706654,884,-284189200
nofib,GenRegexps,-O2,RAN,705543,872,-284189200
nofib,GenRegexps,-O3,RAN,705543,872,-284189200
nofib,Integrate,-O0,RAN,11224,493,0
nofib,Integrate,-O1,RAN,11222,489,0
nofib,Integrate,-O2,RAN,11202,482,0
nofib,Integrate,-O3,RAN,11202,482,0
nofib,Kahan,-O0,RAN,1627,369,14
nofib,Kahan,-O1,RAN,1554,367,14
nofib,Kahan,-O2,RAN,1548,361,14
nofib,Kahan,-O3,RAN,1536,360,14
nofib,Lambda,-O0,RAN,31332,1821,1517948412
nofib,Lambda,-O1,RAN,31068,1812,1517948412
nofib,Lambda,-O2,RAN,30903,1774,1517948412
nofib,Lambda,-O3,RAN,30903,1774,1517948412
nofib,LastPiece,-O0,RAN,177810,4294,1292284983
nofib,LastPiece,-O1,RAN,177808,4279,1292284983
nofib,LastPiece,-O2,RAN,176511,4266,1292284983
nofib,LastPiece,-O3,RAN,176511,4266,1292284983
nofib,Lcss,-O0,RAN,8867,684,1238125097
nofib,Lcss,-O1,RAN,8859,673,1238125097
nofib,Lcss,-O2,RAN,8573,661,1238125097
nofib,Lcss,-O3,RAN,8573,661,1238125097
nofib,Life,-O0,RAN,5780,1151,81
nofib,Life,-O1,RAN,5760,1145,81
nofib,Life,-O2,RAN,5676,1122,81
nofib,Life,-O3,RAN,5676,1122,81
nofib,Mandel2,-O0,RAN,101590,1396,1
nofib,Mandel2,-O1,RAN,101620,1397,1
nofib,Mandel2,-O2,RAN,97329,1358,1
nofib,Mandel2,-O3,RAN,97329,1358,1
nofib,Mandel,-O0,RAN,19419,684,-11851636
nofib,Mandel,-O1,RAN,19417,678,-11851636
nofib,Mandel,-O2,RAN,18841,653,-11851636
nofib,Mandel,-O3,RAN,18841,653,-11851636
nofib,Minimax,-O0,RAN,814918,2678,-689369074
nofib,Minimax,-O1,RAN,814894,2672,-689369074
nofib,Minimax,-O2,RAN,818797,2641,-689369074
nofib,Minimax,-O3,RAN,818522,2638,-689369074
nofib,Multiplier,-O0,RAN,3298312,2233,-323266598
