suite,bench,gc_passes,live_words_last,freed_words_total
flite,Adjoxo,0,0,0
flite,Braun,0,0,0
flite,Clausify,0,0,0
flite,Countdown,0,0,0
flite,Factorial,0,0,0
flite,Fib5,0,0,0
flite,Fib,0,0,0
flite,Fibonacci,0,0,0
flite,Knuthbendix,0,0,0
flite,KnuthbendixN,0,0,0
flite,List,0,0,0
flite,Map,0,0,0
flite,Mss,0,0,0
flite,Ordlist,0,0,0
flite,PerfDemo,0,0,0
flite,Permsort,0,0,0
flite,Queens2,0,0,0
flite,Queens,0,0,0
flite,SumEuler,0,0,0
flite,Sumpuz,0,0,0
flite,Taut,0,0,0
flite,TreePari,0,0,0
flite,TreeSum,0,0,0
flite,TribeLie,0,0,0
flite,Whilex,0,0,0
nofib,Ansi,0,0,0
nofib,Atom,0,0,0
nofib,Awards,0,0,0
nofib,Calendar,0,0,0
nofib,Cichelli,0,0,0
nofib,Constraints,0,0,0
nofib,Cryptarithm1,1,343594,8045034
nofib,Cryptarithm2,14,21835,117418921
nofib,Cse,0,0,0
nofib,Exp3_8,0,0,0
nofib,Fish,9,14675809,89476069
nofib,GenRegexps,2,4025581,12751649
nofib,Integrate,0,0,0
nofib,Kahan,0,0,0
nofib,Lambda,0,0,0
nofib,LastPiece,0,0,0
nofib,Lcss,0,0,0
nofib,Life,0,0,0
nofib,Mandel2,0,0,0
nofib,Mandel,0,0,0
nofib,Minimax,2,10229,16767018
nofib,Multiplier,9,705207,74792423
nofib,NQueens,0,0,0
nofib,PrettyN,0,0,0
nofib,Primes,0,0,0
nofib,Puzzle,188,9431801,1938296855
nofib,RFib,0,0,0
nofib,Scc,0,0,0
nofib,Sorting,0,0,0
nofib,Sphere,0,0,0
nofib,Tak,0,0,0
nofib,Treejoin,1,1378050,7010583
nofib,WheelSieve1,0,0,0
nofib,WheelSieve2,0,0,0
nofib,X2n1,0,0,0
gadt,BTreePure,0,0,0
gadt,ChurchPure,0,0,0
gadt,HeapSortPure,0,0,0
gadt,InsertSortPure,0,0,0
gadt,ListPure,0,0,0
gadt,MergeSortPure,0,0,0
gadt,PatriciaPure,0,0,0
gadt,QuadTreePure,0,0,0
gadt,QueuePure,0,0,0
gadt,RoseTreePure,0,0,0
gadt,TuplePure,0,0,0
gadt,ZipperPure,0,0,0
