suite,bench,status,instructions,cycles,seconds,rss_kb,reductions,result
flite,Adjoxo,RAN,19587944,53129698,0.11,9088,18886,88
flite,Braun,RAN,45996099,126585524,0.14,8960,54574,1
flite,Clausify,RAN,92897449,237836203,0.23,10752,92059,0
flite,Countdown,RAN,16153341,46023187,0.10,8960,14870,4
flite,Factorial,RAN,2491834,9172513,0.08,8960,326,3240
flite,Fib5,RAN,2258553,8433837,0.10,8960,62,8
flite,Fib,RAN,2334721,9359894,0.09,8960,38,5
flite,Fibonacci,RAN,3701514,13283893,0.08,8960,1150,144
flite,Knuthbendix,RAN,20804962,60596564,0.12,8832,21040,4792
flite,KnuthbendixN,RAN,11784585,35927294,0.09,8960,10558,4792
flite,List,RAN,1927951,7811167,0.08,9088,6,1
flite,Map,RAN,3046723,10874224,0.07,8832,818,1275
flite,Mss,RAN,72156616,214120163,0.19,8960,69975,210
flite,Ordlist,RAN,12615450,38520399,0.09,8960,13489,1
flite,PerfDemo,RAN,11895898,36652642,0.10,8960,7894,987
flite,Permsort,RAN,12597344,37550222,0.09,8960,11759,6
flite,Queens2,RAN,15382150,45607544,0.10,8960,15163,10
flite,Queens,RAN,48080432,136564971,0.15,8960,48191,4
flite,SumEuler,RAN,18937655,56207279,0.11,8960,16722,277
flite,Sumpuz,RAN,8207042,26102102,0.09,8960,6617,0
flite,Taut,RAN,26504957,78768757,0.12,8960,29936,1
flite,TreePari,RAN,26404926,77384326,0.13,9088,30451,42
flite,TreeSum,RAN,115903505,331365597,0.28,11136,114682,16383
flite,TribeLie,RAN,12877960,38630189,0.09,8960,11483,48
flite,Whilex,RAN,48162582,128845037,0.15,8832,47614,2
nofib,Ansi,RAN,39528996,112567094,0.14,8960,36516,1359627558
nofib,Atom,RAN,4027768,14643795,0.07,8960,1730,-1338171588
nofib,Awards,RAN,238598660,670462586,0.49,25856,251074,-283987732
nofib,Calendar,RAN,168073484,479964952,0.38,17792,177304,92416
nofib,Cichelli,RAN,113971458,330600161,0.30,12288,117914,-1928824954
nofib,Constraints,RAN,52395200,152599792,0.18,8960,59071,536838146
nofib,Cryptarithm1,RAN,612362733,1208271910,0.83,35072,304109,90344
nofib,Cryptarithm2,RAN,6580481264,13107360119,8.27,35072,5187823,1600636935
nofib,Cse,RAN,16260166,49616236,0.10,8832,15748,1874194485
nofib,Exp3_8,RAN,5258642,17645108,0.09,8832,3986,81
nofib,Fish,RAN,15723238009,21019407930,13.22,126336,3728499,169363
nofib,GenRegexps,RAN,1956426052,3002523811,1.95,46080,706655,-284189200
nofib,Integrate,RAN,16152438,47544292,0.12,8960,11224,0
nofib,Kahan,RAN,4290405,15182929,0.07,8960,1627,14
nofib,Lambda,RAN,30218484,82806371,0.13,8960,31332,1517948412
nofib,LastPiece,RAN,183969016,494194647,0.40,20224,177810,1292284983
nofib,Lcss,RAN,10709484,32206394,0.09,8832,8867,1238125097
nofib,Life,RAN,7984919,25192938,0.09,8960,5780,81
nofib,Mandel2,RAN,119892789,341287690,0.29,12800,101590,1
nofib,Mandel,RAN,27176833,79221185,0.12,8960,19419,-11851636
nofib,Minimax,RAN,1078298426,2169583806,1.44,35200,814918,-689369074
nofib,Multiplier,RAN,4865202691,8910971202,5.67,38528,3298312,-323266598
nofib,NQueens,RAN,13831058,39460631,0.10,8960,11992,10
nofib,PrettyN,RAN,5624203,18205179,0.09,8832,3203,-176409602
nofib,Primes,RAN,3885588,13249724,0.08,8960,1789,41
nofib,Puzzle,RAN,232416787934,317065644469,198.32,108800,85366631,2794
nofib,RFib,RAN,4932035,17534430,0.09,8960,2152,287
nofib,Scc,RAN,6026256,19712764,0.07,8960,4143,-1246620538
nofib,Sorting,RAN,12052217,36330693,0.09,8960,10067,-1203824192
nofib,Sphere,RAN,76014321,230284482,0.22,8960,63511,542619602
nofib,Tak,RAN,5078734,16352804,0.07,8960,3078,6
nofib,Treejoin,RAN,778881118,1407681265,0.95,35968,388543,-1045539005
nofib,WheelSieve1,RAN,3230204,12270601,0.07,8832,855,31
nofib,WheelSieve2,RAN,3721200,13910295,0.07,8960,1416,31
nofib,X2n1,RAN,8727362,28300503,0.09,8960,4353,6
gadt,BTreePure,RAN,20375824,57383946,0.12,8832,17354,1086800167
gadt,ChurchPure,RAN,44533855,135596404,0.16,8832,50543,-649613890
gadt,HeapSortPure,RAN,36738856,100281806,0.14,8960,33950,-26356897
gadt,InsertSortPure,RAN,41079927,112105464,0.15,8960,42270,-26356897
gadt,ListPure,RAN,18457225,54819619,0.12,9088,14295,-188677176
gadt,MergeSortPure,RAN,47859646,133425130,0.15,8960,46980,-26356897
gadt,PatriciaPure,RAN,20282613,59570433,0.11,8832,15944,889214830
gadt,QuadTreePure,RAN,82908800,236846766,0.23,9216,79662,1255315216
gadt,QueuePure,RAN,20910963,59463044,0.11,8960,18737,-1316886862
gadt,RoseTreePure,RAN,9433491,29690793,0.09,8832,6999,2111870790
gadt,TuplePure,RAN,3295201,12492897,0.08,8960,762,-1638190443
gadt,ZipperPure,RAN,15065652,44117164,0.10,8832,13198,739504078
